danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.5529999999999999,0.7170000000000001,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947
0.371,0.98,0,-4.092,1,0.0842,7.53e-05,3.5700000000000014e-05,0.672,0.534,131.011
0.438,0.938,6,-5.6110000000000015,0,0.094,0.00842,1.08e-06,0.8059999999999999,0.584,160.21200000000005
0.5660000000000001,0.918,9,-4.45,1,0.0526,0.00178,0.0,0.0922,0.585,137.22
0.5329999999999999,0.802,4,-4.212,1,0.0384,0.001,0.0,0.314,0.293,106.969
0.35200000000000004,0.955,10,-3.571,1,0.0667,0.00109,7.54e-05,0.424,0.423,180.336
0.428,0.934,9,-4.061,1,0.0927,8.31e-05,0.000431,0.108,0.7240000000000001,167.989
0.341,0.946,9,-2.879,1,0.0729,0.005379999999999999,0.0,0.293,0.696,176.771
0.491,0.978,2,-3.654,1,0.0493,9.76e-05,0.0,0.373,0.524,136.007
0.508,0.915,2,-3.317,1,0.0413,0.00775,0.0,0.109,0.772,103.306
0.623,0.853,4,-5.356,1,0.0472,0.141,0.0,0.14300000000000002,0.7829999999999999,106.099
0.546,0.882,11,-4.019,1,0.0394,0.000784,0.0,0.18600000000000005,0.64,139.966
0.35700000000000004,0.959,2,-4.081,0,0.113,6.93e-06,3.91e-05,0.0825,0.364,179.644
0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088
0.552,0.932,0,-3.782,1,0.0426,0.000102,0.0,0.119,0.518,103.108
0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032
0.39,0.965,0,-3.38,0,0.119,0.0181,0.0,0.583,0.195,168.00599999999997
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.8009999999999999,0.578,1,-7.148,1,0.201,0.0728,0.0,0.185,0.126,100.032
0.889,0.385,11,-11.767,0,0.165,0.00544,0.0,0.274,0.235,125.995
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.889,0.385,11,-11.767,0,0.165,0.00544,0.0,0.274,0.235,125.995
0.68,0.687,9,-6.162000000000001,0,0.0709,0.0161,0.0,0.261,0.467,150.053
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.741,0.718,7,-5.823,1,0.415,0.28300000000000003,2.21e-06,0.23,0.5760000000000001,165.84799999999996
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.795,0.56,1,-5.773,1,0.0479,0.184,0.0,0.158,0.459,136.988
